Head,BTHotspot,WIFI5Ghz,HotspotVoice,Cell,IMU,BDR_Single_Chain_0,EDR_Single_Chain_0,BLE_Single_Chain_0,HR_Single_Chain_0,BDR_Single_Chain_1,EDR_Single_Chain_1,BLE_Single_Chain_1,HR_Single_Chain_1,BDR_Dual_Chain_0,EDR_Dual_Chain_0,BLE_Dual_Chain_0,HR_Dual_Chain_0,BDR_Dual_Chain_1,EDR_Dual_Chain_1,BLE_Dual_Chain_1,HR_Dual_Chain_1
off,off,off,off,off,on,66,67,39,62,66,67,40,61,54,54,30,62,54,54,30,62
off,off,off,off,on,on,66,67,39,62,66,67,40,61,54,54,30,62,54,54,30,62
off,off,off,on,off,on,60,60,39,60,60,60,40,60,54,54,30,58,54,54,30,58
off,off,off,on,on,on,60,60,39,60,60,60,40,60,54,54,30,58,54,54,30,58
off,off,on,off,off,on,60,60,39,60,60,60,40,60,54,54,30,58,54,54,30,58
off,off,on,off,on,on,60,60,39,60,60,60,40,60,54,54,30,58,54,54,30,58
off,off,on,on,off,on,60,60,39,60,60,60,40,60,54,54,30,58,54,54,30,58
off,off,on,on,on,on,60,60,39,60,60,60,40,60,54,54,30,58,54,54,30,58
off,on,off,off,off,on,60,60,39,60,60,60,40,60,54,54,30,58,54,54,30,58
off,on,off,off,on,on,60,60,39,60,60,60,40,60,54,54,30,58,54,54,30,58
off,on,off,on,off,on,60,60,39,60,60,60,40,60,54,54,30,58,54,54,30,58
off,on,off,on,on,on,60,60,39,60,60,60,40,60,54,54,30,58,54,54,30,58
off,on,on,off,off,on,60,60,39,60,60,60,40,60,54,54,30,58,54,54,30,58
off,on,on,off,on,on,60,60,39,60,60,60,40,60,54,54,30,58,54,54,30,58
off,on,on,on,off,on,60,60,39,60,60,60,40,60,54,54,30,58,54,54,30,58
off,on,on,on,on,on,60,60,39,60,60,60,40,60,54,54,30,58,54,54,30,58
on,off,off,off,off,any,46,46,39,46,46,46,40,46,46,46,30,46,46,46,30,46
on,off,off,off,on,any,46,46,39,46,46,46,40,46,46,46,30,46,46,46,30,46
on,off,off,on,off,any,46,46,39,46,46,46,40,46,46,46,30,46,46,46,30,46
on,off,off,on,on,any,46,46,39,46,46,46,40,46,46,46,30,46,46,46,30,46
on,off,on,off,off,any,46,46,39,46,46,46,40,46,46,46,30,46,46,46,30,46
on,off,on,off,on,any,46,46,39,46,46,46,40,46,46,46,30,46,46,46,30,46
on,off,on,on,off,any,46,46,39,46,46,46,40,46,46,46,30,46,46,46,30,46
on,off,on,on,on,any,46,46,39,46,46,46,40,46,46,46,30,46,46,46,30,46
on,on,off,off,off,any,46,46,39,46,46,46,40,46,46,46,30,46,46,46,30,46
on,on,off,off,on,any,46,46,39,46,46,46,40,46,46,46,30,46,46,46,30,46
on,on,off,on,off,any,46,46,39,46,46,46,40,46,46,46,30,46,46,46,30,46
on,on,off,on,on,any,46,46,39,46,46,46,40,46,46,46,30,46,46,46,30,46
on,on,on,off,off,any,46,46,39,46,46,46,40,46,46,46,30,46,46,46,30,46
on,on,on,off,on,any,46,46,39,46,46,46,40,46,46,46,30,46,46,46,30,46
on,on,on,on,off,any,46,46,39,46,46,46,40,46,46,46,30,46,46,46,30,46
on,on,on,on,on,any,46,46,39,46,46,46,40,46,46,46,30,46,46,46,30,46
off,off,any,off,any,off,66,67,39,62,66,67,40,61,54,54,30,62,54,54,30,62
off,on,any,any,any,off,60,60,39,60,60,60,40,60,54,54,30,58,54,54,30,58
off,any,any,on,any,off,60,60,39,60,60,60,40,60,54,54,30,58,54,54,30,58
