Head,BTHotspot,WIFI5Ghz,HotspotVoice,Cell,IMU,BDR_Single_Chain_0,EDR_Single_Chain_0,BLE_Single_Chain_0,HR_Single_Chain_0,BDR_Single_Chain_1,EDR_Single_Chain_1,BLE_Single_Chain_1,HR_Single_Chain_1,BDR_Dual_Chain_0,EDR_Dual_Chain_0,BLE_Dual_Chain_0,HR_Dual_Chain_0,BDR_Dual_Chain_1,EDR_Dual_Chain_1,BLE_Dual_Chain_1,HR_Dual_Chain_1
off,off,off,off,off,on,66,68,38,60,66,66,40,59,54,54,26,59,54,54,26,59
off,off,off,off,on,on,66,68,38,60,66,66,40,59,54,54,26,59,54,54,26,59
off,off,off,on,off,on,62,62,38,60,62,62,40,59,54,54,26,59,54,54,26,59
off,off,off,on,on,on,62,62,38,60,62,62,40,59,54,54,26,59,54,54,26,59
off,off,on,off,off,on,62,62,38,60,62,62,40,59,54,54,26,59,54,54,26,59
off,off,on,off,on,on,62,62,38,60,62,62,40,59,54,54,26,59,54,54,26,59
off,off,on,on,off,on,62,62,38,60,62,62,40,59,54,54,26,59,54,54,26,59
off,off,on,on,on,on,62,62,38,60,62,62,40,59,54,54,26,59,54,54,26,59
off,on,off,off,off,on,62,62,38,60,62,62,40,59,54,54,26,59,54,54,26,59
off,on,off,off,on,on,62,62,38,60,62,62,40,59,54,54,26,59,54,54,26,59
off,on,off,on,off,on,62,62,38,62,62,62,40,59,54,54,26,59,54,54,26,59
off,on,off,on,on,on,62,62,38,60,62,62,40,59,54,54,26,59,54,54,26,59
off,on,on,off,off,on,62,62,38,60,62,62,40,59,54,54,26,59,54,54,26,59
off,on,on,off,on,on,62,62,38,60,62,62,40,59,54,54,26,59,54,54,26,59
off,on,on,on,off,on,62,62,38,60,62,62,40,59,54,54,26,59,54,54,26,59
off,on,on,on,on,on,62,62,38,60,62,62,40,59,54,54,26,59,54,54,26,59
on,off,off,off,off,any,46,46,38,46,46,46,40,46,46,46,26,46,46,46,26,46
on,off,off,off,on,any,46,46,38,46,46,46,40,46,46,46,26,46,46,46,26,46
on,off,off,on,off,any,46,46,38,46,46,46,40,46,46,46,26,46,46,46,26,46
on,off,off,on,on,any,46,46,38,46,46,46,40,46,46,46,26,46,46,46,26,46
on,off,on,off,off,any,46,46,38,46,46,46,40,46,46,46,26,46,46,46,26,46
on,off,on,off,on,any,46,46,38,46,46,46,40,46,46,46,26,46,46,46,26,46
on,off,on,on,off,any,46,46,38,46,46,46,40,46,46,46,26,46,46,46,26,46
on,off,on,on,on,any,46,46,38,46,46,46,40,46,46,46,26,46,46,46,26,46
on,on,off,off,off,any,46,46,38,46,46,46,40,46,46,46,26,46,46,46,26,46
on,on,off,off,on,any,46,46,38,46,46,46,40,46,46,46,26,46,46,46,26,46
on,on,off,on,off,any,46,46,38,46,46,46,40,46,46,46,26,46,46,46,26,46
on,on,off,on,on,any,46,46,38,46,46,46,40,46,46,46,26,46,46,46,26,46
on,on,on,off,off,any,46,46,38,46,46,46,40,46,46,46,26,46,46,46,26,46
on,on,on,off,on,any,46,46,38,46,46,46,40,46,46,46,26,46,46,46,26,46
on,on,on,on,off,any,46,46,38,46,46,46,40,46,46,46,26,46,46,46,26,46
on,on,on,on,on,any,46,46,38,46,46,46,40,46,46,46,26,46,46,46,26,46
off,off,any,off,any,off,66,68,38,60,66,66,40,59,54,54,26,59,54,54,26,59
off,on,any,any,any,off,62,62,38,60,62,62,40,59,54,54,26,59,54,54,26,59
off,any,any,on,any,off,62,62,38,60,62,62,40,59,54,54,26,59,54,54,26,59
