Head,BTHotspot,WIFI5Ghz,HotspotVoice,Cell,IMU,BDR_Single_Chain_0,EDR_Single_Chain_0,BLE_Single_Chain_0,HR_Single_Chain_0,BDR_Single_Chain_1,EDR_Single_Chain_1,BLE_Single_Chain_1,HR_Single_Chain_1,BDR_Dual_Chain_0,EDR_Dual_Chain_0,BLE_Dual_Chain_0,HR_Dual_Chain_0,BDR_Dual_Chain_1,EDR_Dual_Chain_1,BLE_Dual_Chain_1,HR_Dual_Chain_1
off,off,off,off,off,on,66,66,34,62,66,66,41,65,53,53,26,61,53,53,26,61
off,off,off,off,on,on,66,66,34,62,66,66,41,65,53,53,26,61,53,53,26,61
off,off,off,on,off,on,60,60,34,60,60,60,41,60,53,53,26,58,53,53,26,58
off,off,off,on,on,on,60,60,34,60,60,60,41,60,53,53,26,58,53,53,26,58
off,off,on,off,off,on,60,60,34,60,60,60,41,60,53,53,26,58,53,53,26,58
off,off,on,off,on,on,60,60,34,60,60,60,41,60,53,53,26,58,53,53,26,58
off,off,on,on,off,on,60,60,34,60,60,60,41,60,53,53,26,58,53,53,26,58
off,off,on,on,on,on,60,60,34,60,60,60,41,60,53,53,26,58,53,53,26,58
off,on,off,off,off,on,60,60,34,60,60,60,41,60,53,53,26,58,53,53,26,58
off,on,off,off,on,on,60,60,34,60,60,60,41,60,53,53,26,58,53,53,26,58
off,on,off,on,off,on,60,60,34,60,60,60,41,60,53,53,26,58,53,53,26,58
off,on,off,on,on,on,60,60,34,60,60,60,41,60,53,53,26,58,53,53,26,58
off,on,on,off,off,on,60,60,34,60,60,60,41,60,53,53,26,58,53,53,26,58
off,on,on,off,on,on,60,60,34,60,60,60,41,60,53,53,26,58,53,53,26,58
off,on,on,on,off,on,60,60,34,60,60,60,41,60,53,53,26,58,53,53,26,58
off,on,on,on,on,on,60,60,34,60,60,60,41,60,53,53,26,58,53,53,26,58
on,off,off,off,off,any,42,38,34,38,42,38,41,38,42,38,26,38,42,38,26,38
on,off,off,off,on,any,42,38,34,38,42,38,41,38,42,38,26,38,42,38,26,38
on,off,off,on,off,any,42,38,34,38,42,38,41,38,42,38,26,38,42,38,26,38
on,off,off,on,on,any,42,38,34,38,42,38,41,38,42,38,26,38,42,38,26,38
on,off,on,off,off,any,42,38,34,38,42,38,41,38,42,38,26,38,42,38,26,38
on,off,on,off,on,any,42,38,34,38,42,38,41,38,42,38,26,38,42,38,26,38
on,off,on,on,off,any,42,38,34,38,42,38,41,38,42,38,26,38,42,38,26,38
on,off,on,on,on,any,42,38,34,38,42,38,41,38,42,38,26,38,42,38,26,38
on,on,off,off,off,any,42,38,34,38,42,38,41,38,42,38,26,38,42,38,26,38
on,on,off,off,on,any,42,38,34,38,42,38,41,38,42,38,26,38,42,38,26,38
on,on,off,on,off,any,42,38,34,38,42,38,41,38,42,38,26,38,42,38,26,38
on,on,off,on,on,any,42,38,34,38,42,38,41,38,42,38,26,38,42,38,26,38
on,on,on,off,off,any,42,38,34,38,42,38,41,38,42,38,26,38,42,38,26,38
on,on,on,off,on,any,42,38,34,38,42,38,41,38,42,38,26,38,42,38,26,38
on,on,on,on,off,any,42,38,34,38,42,38,41,38,42,38,26,38,42,38,26,38
on,on,on,on,on,any,42,38,34,38,42,38,41,38,42,38,26,38,42,38,26,38
off,off,any,off,any,off,66,66,34,62,66,66,41,65,53,53,26,58,53,53,26,58
off,on,any,any,any,off,60,60,34,60,60,60,41,60,53,53,26,58,53,53,26,58
off,any,any,on,any,off,60,60,34,60,60,60,41,60,53,53,26,58,53,53,26,58
